id,phrase,translation
71,請你再講一遍。,請你再說一遍。
72,真久無見了。,好久不見了。
73,那馬幾點矣？,現在幾點了？
74,咱來佇這裡坐一下。,我們在這邊坐一下吧。
75,咱來食甜點好無？,我們來吃點甜點好嗎？
76,歡迎你來阮厝。,歡迎你來我家。
77,今仔日天氣真好。,今天天氣真好。
78,我嘛有相款的經驗。,我也有類似的經驗。
79,你是欲去佗位？,你要去哪裡？
80,咱欲去行街無？,我們要去逛街嗎？
81,咱來食甜點好無？,我們來吃點甜點好嗎？
82,恁細漢真乖喔。,你小孩真乖喔。
83,真感謝你幫忙。,真的很謝謝你幫忙。
84,下雨天攏無人出門。,下雨天大家都不出門。
85,那馬幾點矣？,現在幾點了？
86,無關係，慢慢講。,沒關係，慢慢說。
87,伊攏照顧咱全家。,他照顧我們全家。
88,今仔日天氣真好。,今天天氣真好。
89,我嘛攏有準備好矣。,我也都準備好了。
90,歡迎你來阮厝。,歡迎你來我家。
91,你感覺如何？,你感覺怎麼樣？
92,你有咧做啥代誌？,你在做什麼事？
93,我嘛攏有準備好矣。,我也都準備好了。
94,阮是老朋友矣。,我們是老朋友了。
95,我感覺真親切。,我覺得很親切。
96,下雨天攏無人出門。,下雨天大家都不出門。
97,講話攏真有禮貌。,講話都很有禮貌。
98,咱欲去行街無？,我們要去逛街嗎？
99,免驚，有我佇咧。,別怕，有我在。
100,講話攏真有禮貌。,講話都很有禮貌。
101,食飽就好眠啦。,吃飽就好睡啦。
102,你家住佇哪位？,你家住哪裡？
103,毋免客氣啦。,不用客氣啦。
104,免驚，有我佇咧。,別怕，有我在。
105,免傷心，會過去。,別難過，會過去的。
106,恁老母身體好無？,你媽媽身體還好嗎？
107,你好啊，最近好無？,你好啊，最近還好嗎？
108,你家住佇哪位？,你家住哪裡？
109,恁家內攏好無？,你家裡都好嗎？
110,阮是老朋友矣。,我們是老朋友了。
111,我陪你去醫院。,我陪你去醫院。
112,你有咧做啥代誌？,你在做什麼事？
113,我欲去市場買菜。,我要去市場買菜。
114,免驚，有我佇咧。,別怕，有我在。
115,這陣子攏做啥？,最近都在做什麼？
116,我陪你去醫院。,我陪你去醫院。
117,真感謝你幫忙。,真的很謝謝你幫忙。
118,你咧想咩代誌？,你在想什麼事情？
119,彼件衫真合你穿。,那件衣服很適合你穿。
120,我陪你走一段。,我陪你走一段路。
121,這件代誌無簡單。,這件事不簡單。
122,真久無見了。,好久不見了。
123,恁細漢真乖喔。,你小孩真乖喔。
124,今仔日心情真好。,今天心情很好。
125,今仔日心情真好。,今天心情很好。
126,免驚，有我佇咧。,別怕，有我在。
127,你咧想咩代誌？,你在想什麼事情？
128,好久無見，想你了。,好久沒見到你，想你了。
129,咱來討論一下。,我們來討論一下。
130,攏好攏好，毋免驚。,都好都好，不用怕。
131,這是啥物意思？,這是什麼意思？
132,這是好機會。,這是一個好機會。
133,下次我請你。,下次我請你吃飯。
134,我嘛攏有準備好矣。,我也都準備好了。
135,我欲去市場買菜。,我要去市場買菜。
136,恁細漢真乖喔。,你小孩真乖喔。
137,免驚，有我佇咧。,別怕，有我在。
138,真久無見了。,好久不見了。
139,真歡喜見到你。,很高興見到你。
140,咱來討論一下。,我們來討論一下。
141,這攤攏算我的。,這頓我來付錢。
142,來，咱來切磋一下。,來，我們來交流一下。
143,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
144,你家住佇哪位？,你家住哪裡？
145,講話攏真有禮貌。,講話都很有禮貌。
146,我陪你走一段。,我陪你走一段路。
147,無關係，慢慢講。,沒關係，慢慢說。
148,我幫你問問看。,我幫你問看看。
149,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
150,你家住佇哪位？,你家住哪裡？
151,毋通緊張啦。,不要緊張啦。
152,攏總攏是你啦！,全都是你的錯啦！
153,伊攏照顧咱全家。,他照顧我們全家。
154,免傷心，會過去。,別難過，會過去的。
155,免驚，有我佇咧。,別怕，有我在。
156,這是我的心意。,這是我的一點心意。
157,我陪你去醫院。,我陪你去醫院。
158,咱來討論一下。,我們來討論一下。
159,你有咧做啥代誌？,你在做什麼事？
160,咱來食甜點好無？,我們來吃點甜點好嗎？
161,好啊，咱就這馬出門。,好啊，我們現在就出門吧。
162,你是欲去佗位？,你要去哪裡？
163,這攤攏算我的。,這頓我來付錢。
164,這馬欲開始矣。,現在要開始了。
165,今仔日心情真好。,今天心情很好。
166,我攏照顧好矣。,我都照顧好了。
167,今仔日心情真好。,今天心情很好。
168,這件代誌交予我。,這件事交給我。
169,食飽就好眠啦。,吃飽就好睡啦。
170,這是好機會。,這是一個好機會。
171,那馬幾點矣？,現在幾點了？
172,真感謝你幫忙。,真的很謝謝你幫忙。
173,真感謝你幫忙。,真的很謝謝你幫忙。
174,你是對咧講啥？,你是在說什麼？
175,真感謝你幫忙。,真的很謝謝你幫忙。
176,這件代誌無簡單。,這件事不簡單。
177,咱來佇這裡坐一下。,我們在這邊坐一下吧。
178,今仔日有空無？,你今天有空嗎？
179,咱明仔載再聯絡。,我們明天再聯絡吧。
180,我攏照顧好矣。,我都照顧好了。
181,我陪你去醫院。,我陪你去醫院。
182,真久無見了。,好久不見了。
183,我會再考慮看看。,我會再想一想。
184,你咧想咩代誌？,你在想什麼事情？
185,真感謝你幫忙。,真的很謝謝你幫忙。
186,伊看起來真熟似。,他看起來很面熟。
187,真感謝你幫忙。,真的很謝謝你幫忙。
188,你講得真有影。,你講得真的有道理。
189,看情形再講啦。,看情況再說啦。
190,講慢一點，我會曉。,說慢一點，我會懂。
191,免驚，有我佇咧。,別怕，有我在。
192,咱來加油一下。,我們來加油一下吧。
193,阮是老朋友矣。,我們是老朋友了。
194,恁細漢真乖喔。,你小孩真乖喔。
195,我會再考慮看看。,我會再想一想。
196,咱來加油一下。,我們來加油一下吧。
197,這馬欲開始矣。,現在要開始了。
198,你家住佇哪位？,你家住哪裡？
199,伊無閒啦，免叫伊。,他沒空啦，不用叫他。
200,無關係，慢慢講。,沒關係，慢慢說。
201,你好啊，最近好無？,你好啊，最近還好嗎？
202,你有咧做啥代誌？,你在做什麼事？
203,我嘛有同款想法。,我也有一樣的想法。
204,這攤我請就好。,這頓我請客就好。
205,你好啊，最近好無？,你好啊，最近還好嗎？
206,咱來食甜點好無？,我們來吃點甜點好嗎？
207,今仔日天氣真好。,今天天氣真好。
208,這杯咖啡真香。,這杯咖啡真香。
209,免驚，有我佇咧。,別怕，有我在。
210,咱來佇這裡坐一下。,我們在這邊坐一下吧。
211,來，恁嘛坐啦。,來，你也坐吧。
212,這件代誌無簡單。,這件事不簡單。
213,你咧想咩代誌？,你在想什麼事情？
214,免驚，有我佇咧。,別怕，有我在。
215,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
216,你好啊，最近好無？,你好啊，最近還好嗎？
217,這馬欲開始矣。,現在要開始了。
218,你感覺如何？,你感覺怎麼樣？
219,來，咱來切磋一下。,來，我們來交流一下。
220,這陣子攏做啥？,最近都在做什麼？
221,下次我請你。,下次我請你吃飯。
222,無關係，慢慢講。,沒關係，慢慢說。
223,伊講話真有趣。,他說話真有趣。
224,攏是天註定的。,都是命中註定的。
225,伊無閒啦，免叫伊。,他沒空啦，不用叫他。
226,攏是天註定的。,都是命中註定的。
227,今仔日有空無？,你今天有空嗎？
228,我攏照顧好矣。,我都照顧好了。
229,你是對咧講啥？,你是在說什麼？
230,這杯咖啡真香。,這杯咖啡真香。
231,有咩代誌攏好講。,有什麼事都可以說。
232,你攏好無？,你一切都還好嗎？
233,伊攏照顧咱全家。,他照顧我們全家。
234,下次我請你。,下次我請你吃飯。
235,這是啥物意思？,這是什麼意思？
236,免驚，有我佇咧。,別怕，有我在。
237,下次我請你。,下次我請你吃飯。
238,免驚，有我佇咧。,別怕，有我在。
239,我嘛攏有準備好矣。,我也都準備好了。
240,好啊，咱就這馬出門。,好啊，我們現在就出門吧。
241,你講得真有影。,你講得真的有道理。
242,攏是天註定的。,都是命中註定的。
243,來，咱來切磋一下。,來，我們來交流一下。
244,這是啥物意思？,這是什麼意思？
245,咱來佇這裡坐一下。,我們在這邊坐一下吧。
246,彼條路真難行。,那條路真的不好走。
247,這件代誌無簡單。,這件事不簡單。
248,你感覺如何？,你感覺怎麼樣？
249,毋通緊張啦。,不要緊張啦。
250,下雨天攏無人出門。,下雨天大家都不出門。
251,我欲去市場買菜。,我要去市場買菜。
252,咱欲去行街無？,我們要去逛街嗎？
253,咱來加油一下。,我們來加油一下吧。
254,我攏有聽清楚啦。,我都有聽清楚啦。
255,慢慢來，無關係。,慢慢來，沒關係。
256,咱來討論一下。,我們來討論一下。
257,免傷心，會過去。,別難過，會過去的。
258,伊講話真有道理。,他講話真有道理。
259,這件代誌交予我。,這件事交給我。
260,那馬幾點矣？,現在幾點了？
261,我欲去市場買菜。,我要去市場買菜。
262,咱來討論一下。,我們來討論一下。
263,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
264,你食飽未？,你吃飽了嗎？
265,真歡喜見到你。,很高興見到你。
266,我嘛攏有準備啦。,我也都準備好了啦。
267,好啊，咱就這馬出門。,好啊，我們現在就出門吧。
268,你有咧做啥代誌？,你在做什麼事？
269,我嘛攏有準備好矣。,我也都準備好了。
270,我陪你走一段。,我陪你走一段路。
271,你家住佇哪位？,你家住哪裡？
272,下雨天攏無人出門。,下雨天大家都不出門。
273,你佇做咩代誌？,你在忙什麼？
274,你感覺如何？,你感覺怎麼樣？
275,彼件事已經過矣。,那件事已經過去了。
276,這馬欲開始矣。,現在要開始了。
277,阮是老朋友矣。,我們是老朋友了。
278,咱來食甜點好無？,我們來吃點甜點好嗎？
279,來，咱來切磋一下。,來，我們來交流一下。
280,好久無見，想你了。,好久沒見到你，想你了。
281,免驚，有我佇咧。,別怕，有我在。
282,這是好機會。,這是一個好機會。
283,你家住佇哪位？,你家住哪裡？
284,今仔日心情真好。,今天心情很好。
285,那馬幾點矣？,現在幾點了？
286,我嘛有同款想法。,我也有一樣的想法。
287,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
288,這攤攏算我的。,這頓我來付錢。
289,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
290,我幫你問問看。,我幫你問看看。
291,這馬欲開始矣。,現在要開始了。
292,你攏好無？,你一切都還好嗎？
293,看情形再講啦。,看情況再說啦。
294,咱來佇這裡坐一下。,我們在這邊坐一下吧。
295,你講慢一點好無？,你可以講慢一點嗎？
296,做事要有耐心。,做事要有耐心。
297,這杯咖啡真香。,這杯咖啡真香。
298,恁家內攏好無？,你家裡都好嗎？
299,你講得真有影。,你講得真的有道理。
300,講慢一點，我會曉。,說慢一點，我會懂。
301,毋通緊張啦。,不要緊張啦。
302,你咧想咩代誌？,你在想什麼事情？
303,下擺再約出來食飯。,下次再約出來吃飯。
304,慢慢來，無關係。,慢慢來，沒關係。
305,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
306,你欲食啥菜色？,你想吃什麼菜？
307,有啥需要攏會曉。,有什麼需要我都知道。
308,彼件事已經過矣。,那件事已經過去了。
309,這件代誌無簡單。,這件事不簡單。
310,你家住佇哪位？,你家住哪裡？
311,咱明仔載再聯絡。,我們明天再聯絡吧。
312,你是欲去佗位？,你要去哪裡？
313,我嘛有同款想法。,我也有一樣的想法。
314,我攏照顧好矣。,我都照顧好了。
315,我嘛攏有準備啦。,我也都準備好了啦。
316,你人真好。,你人真的很好。
317,咱來討論一下。,我們來討論一下。
318,真歡喜見到你。,很高興見到你。
319,有咩代誌攏好講。,有什麼事都可以說。
320,彼件事已經過矣。,那件事已經過去了。
321,食飽就好眠啦。,吃飽就好睡啦。
322,你是對咧講啥？,你是在說什麼？
323,你欲食啥菜色？,你想吃什麼菜？
324,免傷心，會過去。,別難過，會過去的。
325,來，咱來切磋一下。,來，我們來交流一下。
326,恁家內攏好無？,你家裡都好嗎？
327,你食飽未？,你吃飽了嗎？
328,講話攏真有禮貌。,講話都很有禮貌。
329,攏好攏好，毋免驚。,都好都好，不用怕。
330,你是欲去佗位？,你要去哪裡？
331,真歡喜見到你。,很高興見到你。
332,請你再講一遍。,請你再說一遍。
333,這件代誌交予我。,這件事交給我。
334,這件代誌無簡單。,這件事不簡單。
335,這是好機會。,這是一個好機會。
336,伊看起來真熟似。,他看起來很面熟。
337,你有看著彼齣戲無？,你有看那齣戲嗎？
338,攏好攏好，毋免驚。,都好都好，不用怕。
339,我陪你走一段。,我陪你走一段路。
340,這件代誌無簡單。,這件事不簡單。
341,你有看著彼齣戲無？,你有看那齣戲嗎？
342,這是你愛的物件無？,這是你喜歡的東西嗎？
343,你講的是對的。,你說的是對的。
344,咱欲去行街無？,我們要去逛街嗎？
345,這馬欲開始矣。,現在要開始了。
346,有代誌就直直講。,有事就直說吧。
347,你講得真有影。,你講得真的有道理。
348,我陪你走一段。,我陪你走一段路。
349,看情形再講啦。,看情況再說啦。
350,有啥需要攏會曉。,有什麼需要我都知道。
351,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
352,講慢一點，我會曉。,說慢一點，我會懂。
353,這攤攏算我的。,這頓我來付錢。
354,食飽就好眠啦。,吃飽就好睡啦。
355,免客氣啦，攏自己人。,不用客氣啦，大家自己人。
356,你家住佇哪位？,你家住哪裡？
357,講慢一點，我會曉。,說慢一點，我會懂。
358,阮是老朋友矣。,我們是老朋友了。
359,這件代誌交予我。,這件事交給我。
360,我嘛有同款想法。,我也有一樣的想法。
361,恁家內攏好無？,你家裡都好嗎？
362,你是對咧講啥？,你是在說什麼？
363,好啊，咱就這馬出門。,好啊，我們現在就出門吧。
364,有代誌就直直講。,有事就直說吧。
365,你食飽未？,你吃飽了嗎？
366,你是對咧講啥？,你是在說什麼？
367,我嘛有相款的經驗。,我也有類似的經驗。
368,今仔日有空無？,你今天有空嗎？
369,我陪你去醫院。,我陪你去醫院。
370,食飽就好眠啦。,吃飽就好睡啦。
371,這馬欲開始矣。,現在要開始了。
372,我會再考慮看看。,我會再想一想。
373,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
374,咱來佇這裡坐一下。,我們在這邊坐一下吧。
375,你講慢一點好無？,你可以講慢一點嗎？
376,今仔日心情真好。,今天心情很好。
377,伊看起來真熟似。,他看起來很面熟。
378,有啥需要攏會曉。,有什麼需要我都知道。
379,毋通做彼款代誌。,不要做那種事。
380,講慢一點，我會曉。,說慢一點，我會懂。
381,你佇做咩代誌？,你在忙什麼？
382,我感覺真親切。,我覺得很親切。
383,好久無見，想你了。,好久沒見到你，想你了。
384,咱欲去行街無？,我們要去逛街嗎？
385,你講得真有影。,你講得真的有道理。
386,你食飽未？,你吃飽了嗎？
387,攏好攏好，毋免驚。,都好都好，不用怕。
388,這是我的心意。,這是我的一點心意。
389,我攏有聽清楚啦。,我都有聽清楚啦。
390,你好啊，最近好無？,你好啊，最近還好嗎？
391,攏是天註定的。,都是命中註定的。
392,有咩代誌攏好講。,有什麼事都可以說。
393,恁老母身體好無？,你媽媽身體還好嗎？
394,免驚，有我佇咧。,別怕，有我在。
395,這是啥物意思？,這是什麼意思？
396,下擺再約出來食飯。,下次再約出來吃飯。
397,這件代誌交予我。,這件事交給我。
398,你講的是對的。,你說的是對的。
399,你食飽未？,你吃飽了嗎？
400,食飽就好眠啦。,吃飽就好睡啦。
401,伊講話真有道理。,他講話真有道理。
402,講慢一點，我會曉。,說慢一點，我會懂。
403,你講慢一點好無？,你可以講慢一點嗎？
404,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
405,你人真好。,你人真的很好。
406,有啥需要攏會曉。,有什麼需要我都知道。
407,阮是老朋友矣。,我們是老朋友了。
408,你有看著彼齣戲無？,你有看那齣戲嗎？
409,真歡喜見到你。,很高興見到你。
410,這是啥物意思？,這是什麼意思？
411,下次我請你。,下次我請你吃飯。
412,你有閒來坐一下。,你有空來坐坐。
413,伊無閒啦，免叫伊。,他沒空啦，不用叫他。
414,你欲食啥菜色？,你想吃什麼菜？
415,咱來加油一下。,我們來加油一下吧。
416,攏好攏好，毋免驚。,都好都好，不用怕。
417,這件代誌交予我。,這件事交給我。
418,咱來加油一下。,我們來加油一下吧。
419,今仔日有空無？,你今天有空嗎？
420,這陣子攏做啥？,最近都在做什麼？
421,你是欲去佗位？,你要去哪裡？
422,咱欲去行街無？,我們要去逛街嗎？
423,講話攏真有禮貌。,講話都很有禮貌。
424,這馬欲開始矣。,現在要開始了。
425,有啥需要攏會曉。,有什麼需要我都知道。
426,伊講話真有道理。,他講話真有道理。
427,恁細漢真乖喔。,你小孩真乖喔。
428,今仔日心情真好。,今天心情很好。
429,下次我請你。,下次我請你吃飯。
430,我感覺真親切。,我覺得很親切。
431,我攏有聽清楚啦。,我都有聽清楚啦。
432,毋免客氣啦。,不用客氣啦。
433,伊講話真有道理。,他講話真有道理。
434,這是好機會。,這是一個好機會。
435,你有咧做啥代誌？,你在做什麼事？
436,這是你愛的物件無？,這是你喜歡的東西嗎？
437,恁爸有在厝無？,你爸在家嗎？
438,你有閒來坐一下。,你有空來坐坐。
439,今仔日心情真好。,今天心情很好。
440,你有看著彼齣戲無？,你有看那齣戲嗎？
441,食飽就好眠啦。,吃飽就好睡啦。
442,彼條路真難行。,那條路真的不好走。
443,這攤攏算我的。,這頓我來付錢。
444,這件代誌無簡單。,這件事不簡單。
445,這馬欲開始矣。,現在要開始了。
446,免傷心，會過去。,別難過，會過去的。
447,你是欲去佗位？,你要去哪裡？
448,彼條路真難行。,那條路真的不好走。
449,攏是天註定的。,都是命中註定的。
450,你是欲去佗位？,你要去哪裡？
451,伊無閒啦，免叫伊。,他沒空啦，不用叫他。
452,我嘛攏有準備好矣。,我也都準備好了。
453,這馬是欲按怎？,現在該怎麼辦？
454,你有閒來坐一下。,你有空來坐坐。
455,下雨天攏無人出門。,下雨天大家都不出門。
456,伊講話真有趣。,他說話真有趣。
457,伊看起來真熟似。,他看起來很面熟。
458,來，咱來切磋一下。,來，我們來交流一下。
459,恁爸有在厝無？,你爸在家嗎？
460,我嘛有同款想法。,我也有一樣的想法。
461,你佇做咩代誌？,你在忙什麼？
462,我欲先轉去了。,我要先回去了。
463,我欲去市場買菜。,我要去市場買菜。
464,下擺再約出來食飯。,下次再約出來吃飯。
465,攏總攏是你啦！,全都是你的錯啦！
466,真感謝你幫忙。,真的很謝謝你幫忙。
467,恁爸有在厝無？,你爸在家嗎？
468,真歡喜見到你。,很高興見到你。
469,你有咧做啥代誌？,你在做什麼事？
470,攏好攏好，毋免驚。,都好都好，不用怕。
471,這陣子攏做啥？,最近都在做什麼？
472,做事要有耐心。,做事要有耐心。
473,咱來加油一下。,我們來加油一下吧。
474,這是好機會。,這是一個好機會。
475,毋通緊張啦。,不要緊張啦。
476,恁細漢真乖喔。,你小孩真乖喔。
477,我感覺真親切。,我覺得很親切。
478,這是啥物意思？,這是什麼意思？
479,恁老母身體好無？,你媽媽身體還好嗎？
480,你食飽未？,你吃飽了嗎？
481,這是啥物意思？,這是什麼意思？
482,我攏有聽清楚啦。,我都有聽清楚啦。
483,下雨天攏無人出門。,下雨天大家都不出門。
484,伊講話真有道理。,他講話真有道理。
485,你講的是對的。,你說的是對的。
486,看情形再講啦。,看情況再說啦。
487,我感覺真親切。,我覺得很親切。
488,我嘛有同款想法。,我也有一樣的想法。
489,你家住佇哪位？,你家住哪裡？
490,咱來佇這裡坐一下。,我們在這邊坐一下吧。
491,這陣子攏做啥？,最近都在做什麼？
492,食飽就好眠啦。,吃飽就好睡啦。
493,我嘛攏有準備好矣。,我也都準備好了。
494,你佇做咩代誌？,你在忙什麼？
495,無關係，慢慢講。,沒關係，慢慢說。
496,咱來佇這裡坐一下。,我們在這邊坐一下吧。
497,攏總攏是你啦！,全都是你的錯啦！
498,彼件衫真合你穿。,那件衣服很適合你穿。
499,你家住佇哪位？,你家住哪裡？
500,這是好機會。,這是一個好機會。
501,這是我的心意。,這是我的一點心意。
502,做事要有耐心。,做事要有耐心。
503,這是我的心意。,這是我的一點心意。
504,看情形再講啦。,看情況再說啦。
505,來，恁嘛坐啦。,來，你也坐吧。
506,你是欲去佗位？,你要去哪裡？
507,有代誌就直直講。,有事就直說吧。
508,來，咱來切磋一下。,來，我們來交流一下。
509,你有咧做啥代誌？,你在做什麼事？
510,下次我請你。,下次我請你吃飯。
511,這攤攏算我的。,這頓我來付錢。
512,我幫你問問看。,我幫你問看看。
513,有代誌就直直講。,有事就直說吧。
514,毋通緊張啦。,不要緊張啦。
515,恁細漢真乖喔。,你小孩真乖喔。
516,今仔日天氣真好。,今天天氣真好。
517,這杯咖啡真香。,這杯咖啡真香。
518,食飽就好眠啦。,吃飽就好睡啦。
519,我嘛有相款的經驗。,我也有類似的經驗。
520,彼件事已經過矣。,那件事已經過去了。
521,好啊，咱就這馬出門。,好啊，我們現在就出門吧。
522,我陪你走一段。,我陪你走一段路。
523,今仔日心情真好。,今天心情很好。
524,你攏好無？,你一切都還好嗎？
525,咱來加油一下。,我們來加油一下吧。
526,攏好攏好，毋免驚。,都好都好，不用怕。
527,我攏照顧好矣。,我都照顧好了。
528,你講慢一點好無？,你可以講慢一點嗎？
529,有咩代誌攏好講。,有什麼事都可以說。
530,做事要有耐心。,做事要有耐心。
531,攏是天註定的。,都是命中註定的。
532,那馬幾點矣？,現在幾點了？
533,攏好攏好，毋免驚。,都好都好，不用怕。
534,我欲去市場買菜。,我要去市場買菜。
535,你攏好無？,你一切都還好嗎？
536,恁細漢真乖喔。,你小孩真乖喔。
537,你家住佇哪位？,你家住哪裡？
538,咱來佇這裡坐一下。,我們在這邊坐一下吧。
539,食飽就好眠啦。,吃飽就好睡啦。
540,攏總攏是你啦！,全都是你的錯啦！
541,有咩代誌攏好講。,有什麼事都可以說。
542,我嘛有同款想法。,我也有一樣的想法。
543,毋免客氣啦。,不用客氣啦。
544,你講得真有影。,你講得真的有道理。
545,我嘛有相款的經驗。,我也有類似的經驗。
546,免客氣啦，攏自己人。,不用客氣啦，大家自己人。
547,你有咧做啥代誌？,你在做什麼事？
548,請你再講一遍。,請你再說一遍。
549,攏總攏是你啦！,全都是你的錯啦！
550,這攤我請就好。,這頓我請客就好。
551,下次我請你。,下次我請你吃飯。
552,攏好攏好，毋免驚。,都好都好，不用怕。
553,這馬欲開始矣。,現在要開始了。
554,你有看著彼齣戲無？,你有看那齣戲嗎？
555,伊攏照顧咱全家。,他照顧我們全家。
556,免傷心，會過去。,別難過，會過去的。
557,請你再講一遍。,請你再說一遍。
558,做事要有耐心。,做事要有耐心。
559,好啊，咱就這馬出門。,好啊，我們現在就出門吧。
560,你講得真有影。,你講得真的有道理。
561,你有咧做啥代誌？,你在做什麼事？
562,這馬是欲按怎？,現在該怎麼辦？
563,來，恁嘛坐啦。,來，你也坐吧。
564,伊攏照顧咱全家。,他照顧我們全家。
565,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
566,彼條路真難行。,那條路真的不好走。
567,彼件事已經過矣。,那件事已經過去了。
568,我嘛有同款想法。,我也有一樣的想法。
569,這杯咖啡真香。,這杯咖啡真香。
570,這馬欲開始矣。,現在要開始了。
571,攏是天註定的。,都是命中註定的。
572,這是好機會。,這是一個好機會。
573,攏總攏是你啦！,全都是你的錯啦！
574,毋通做彼款代誌。,不要做那種事。
575,咱來加油一下。,我們來加油一下吧。
576,我嘛有相款的經驗。,我也有類似的經驗。
577,這杯咖啡真香。,這杯咖啡真香。
578,你感覺如何？,你感覺怎麼樣？
579,我攏有聽清楚啦。,我都有聽清楚啦。
580,你佇做咩代誌？,你在忙什麼？
581,你佇做咩代誌？,你在忙什麼？
582,下雨天攏無人出門。,下雨天大家都不出門。
583,伊無閒啦，免叫伊。,他沒空啦，不用叫他。
584,伊看起來真熟似。,他看起來很面熟。
585,毋通做彼款代誌。,不要做那種事。
586,咱欲去行街無？,我們要去逛街嗎？
587,咱來討論一下。,我們來討論一下。
588,毋免客氣啦。,不用客氣啦。
589,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
590,這是你愛的物件無？,這是你喜歡的東西嗎？
591,你有閒來坐一下。,你有空來坐坐。
592,毋免客氣啦。,不用客氣啦。
593,阮是老朋友矣。,我們是老朋友了。
594,你有看著彼齣戲無？,你有看那齣戲嗎？
595,我會再考慮看看。,我會再想一想。
596,我攏有聽清楚啦。,我都有聽清楚啦。
597,恁細漢真乖喔。,你小孩真乖喔。
598,這杯咖啡真香。,這杯咖啡真香。
599,你有咧做啥代誌？,你在做什麼事？
600,我攏照顧好矣。,我都照顧好了。
601,我嘛有相款的經驗。,我也有類似的經驗。
602,我陪你去醫院。,我陪你去醫院。
