id,phrase,translation
193,你佇做咩代誌？,你在忙什麼？
194,來，恁嘛坐啦。,來，你也坐吧。
195,今仔日有空無？,你今天有空嗎？
196,有啥需要攏會曉。,有什麼需要我都知道。
197,有咩代誌攏好講。,有什麼事都可以說。
198,這件代誌無簡單。,這件事不簡單。
199,恁老母身體好無？,你媽媽身體還好嗎？
200,這件代誌交予我。,這件事交給我。
201,講慢一點，我會曉。,說慢一點，我會懂。
202,你有看著彼齣戲無？,你有看那齣戲嗎？
203,我欲先轉去了。,我要先回去了。
204,我欲先轉去了。,我要先回去了。
205,今仔日天氣真好。,今天天氣真好。
206,你感覺如何？,你感覺怎麼樣？
207,下擺再約出來食飯。,下次再約出來吃飯。
208,這是你愛的物件無？,這是你喜歡的東西嗎？
209,我欲先轉去了。,我要先回去了。
210,真感謝你幫忙。,真的很謝謝你幫忙。
211,你是對咧講啥？,你是在說什麼？
212,那馬幾點矣？,現在幾點了？
213,毋通緊張啦。,不要緊張啦。
214,你講的是對的。,你說的是對的。
215,今仔日天氣真好。,今天天氣真好。
216,彼件衫真合你穿。,那件衣服很適合你穿。
217,你家住佇哪位？,你家住哪裡？
218,慢慢來，無關係。,慢慢來，沒關係。
219,毋通緊張啦。,不要緊張啦。
220,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
221,免驚，有我佇咧。,別怕，有我在。
222,無關係，慢慢講。,沒關係，慢慢說。
223,真久無見了。,好久不見了。
224,真歡喜見到你。,很高興見到你。
225,恁爸有在厝無？,你爸在家嗎？
226,這是好機會。,這是一個好機會。
227,你講的是對的。,你說的是對的。
228,免驚，有我佇咧。,別怕，有我在。
229,我嘛攏有準備好矣。,我也都準備好了。
230,你有閒來坐一下。,你有空來坐坐。
231,你講得真有影。,你講得真的有道理。
232,有咩代誌攏好講。,有什麼事都可以說。
233,今仔日心情真好。,今天心情很好。
234,毋免客氣啦。,不用客氣啦。
235,真久無見了。,好久不見了。
236,阮是老朋友矣。,我們是老朋友了。
237,咱欲去行街無？,我們要去逛街嗎？
238,我攏聽有啦。,我都有聽懂啦。
239,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
240,彼條路真難行。,那條路真的不好走。
241,今仔日天氣真好。,今天天氣真好。
242,這攤我請就好。,這頓我請客就好。
243,有代誌就直直講。,有事就直說吧。
244,這件代誌交予我。,這件事交給我。
245,下雨天攏無人出門。,下雨天大家都不出門。
246,來，恁嘛坐啦。,來，你也坐吧。
247,咱明仔載再聯絡。,我們明天再聯絡吧。
248,看情形再講啦。,看情況再說啦。
249,看情形再講啦。,看情況再說啦。
250,阮是老朋友矣。,我們是老朋友了。
251,伊講話真有道理。,他講話真有道理。
252,咱來食甜點好無？,我們來吃點甜點好嗎？
253,我陪你去醫院。,我陪你去醫院。
254,伊看起來真熟似。,他看起來很面熟。
255,我感覺真親切。,我覺得很親切。
256,你人真好。,你人真的很好。
257,慢慢來，無關係。,慢慢來，沒關係。
258,歡迎你來阮厝。,歡迎你來我家。
259,看情形再講啦。,看情況再說啦。
260,咱來佇這裡坐一下。,我們在這邊坐一下吧。
261,今仔日心情真好。,今天心情很好。
262,咱來討論一下。,我們來討論一下。
263,我欲先轉去了。,我要先回去了。
264,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
265,這攤我請就好。,這頓我請客就好。
266,這是好機會。,這是一個好機會。
267,有咩代誌攏好講。,有什麼事都可以說。
268,你有看著彼齣戲無？,你有看那齣戲嗎？
269,你好啊，最近好無？,你好啊，最近還好嗎？
270,這攤我請就好。,這頓我請客就好。
271,伊講話真有道理。,他講話真有道理。
272,伊看起來真熟似。,他看起來很面熟。
273,真感謝你幫忙。,真的很謝謝你幫忙。
274,毋免客氣啦。,不用客氣啦。
275,你欲食啥菜色？,你想吃什麼菜？
276,咱來佇這裡坐一下。,我們在這邊坐一下吧。
277,伊攏照顧咱全家。,他照顧我們全家。
278,真歡喜見到你。,很高興見到你。
279,咱來加油一下。,我們來加油一下吧。
280,咱來討論一下。,我們來討論一下。
281,我攏聽有啦。,我都有聽懂啦。
282,我嘛攏有準備啦。,我也都準備好了啦。
283,做事要有耐心。,做事要有耐心。
284,今仔日有空無？,你今天有空嗎？
285,恁家內攏好無？,你家裡都好嗎？
286,你感覺如何？,你感覺怎麼樣？
287,我欲去市場買菜。,我要去市場買菜。
288,免驚，有我佇咧。,別怕，有我在。
289,免傷心，會過去。,別難過，會過去的。
290,你家住佇哪位？,你家住哪裡？
291,請你再講一遍。,請你再說一遍。
292,你好啊，最近好無？,你好啊，最近還好嗎？
293,來，咱來切磋一下。,來，我們來交流一下。
294,我嘛攏有準備好矣。,我也都準備好了。
295,今仔日天氣真好。,今天天氣真好。
296,咱來佇這裡坐一下。,我們在這邊坐一下吧。
297,毋通做彼款代誌。,不要做那種事。
298,來，咱來切磋一下。,來，我們來交流一下。
299,咱明仔載再聯絡。,我們明天再聯絡吧。
300,有啥需要攏會曉。,有什麼需要我都知道。
301,這是我的心意。,這是我的一點心意。
302,看情形再講啦。,看情況再說啦。
303,這馬欲開始矣。,現在要開始了。
304,這是啥物意思？,這是什麼意思？
305,你人真好。,你人真的很好。
306,你講得真有影。,你講得真的有道理。
307,你攏好無？,你一切都還好嗎？
308,咱來加油一下。,我們來加油一下吧。
309,這馬欲開始矣。,現在要開始了。
310,恁細漢真乖喔。,你小孩真乖喔。
311,真感謝你幫忙。,真的很謝謝你幫忙。
312,攏是天註定的。,都是命中註定的。
313,阮是老朋友矣。,我們是老朋友了。
314,我會再考慮看看。,我會再想一想。
315,這馬欲開始矣。,現在要開始了。
316,你欲食啥菜色？,你想吃什麼菜？
317,請你再講一遍。,請你再說一遍。
318,慢慢來，無關係。,慢慢來，沒關係。
319,恁家內攏好無？,你家裡都好嗎？
320,這杯咖啡真香。,這杯咖啡真香。
321,這攤我請就好。,這頓我請客就好。
322,這件代誌交予我。,這件事交給我。
323,歡迎你來阮厝。,歡迎你來我家。
324,我嘛攏有準備啦。,我也都準備好了啦。
325,我感覺真親切。,我覺得很親切。
326,這馬是欲按怎？,現在該怎麼辦？
327,攏是天註定的。,都是命中註定的。
328,真歡喜見到你。,很高興見到你。
329,真歡喜見到你。,很高興見到你。
330,這件代誌交予我。,這件事交給我。
331,這攤我請就好。,這頓我請客就好。
332,我會再考慮看看。,我會再想一想。
333,我會再考慮看看。,我會再想一想。
334,你講慢一點好無？,你可以講慢一點嗎？
335,你食飽未？,你吃飽了嗎？
336,你講慢一點好無？,你可以講慢一點嗎？
337,你咧想咩代誌？,你在想什麼事情？
338,我會再考慮看看。,我會再想一想。
339,你有咧做啥代誌？,你在做什麼事？
340,來，咱來切磋一下。,來，我們來交流一下。
341,我攏有聽清楚啦。,我都有聽清楚啦。
342,你有閒來坐一下。,你有空來坐坐。
343,我幫你問問看。,我幫你問看看。
344,恁老母身體好無？,你媽媽身體還好嗎？
345,下擺再約出來食飯。,下次再約出來吃飯。
346,下次我請你。,下次我請你吃飯。
347,歡迎你來阮厝。,歡迎你來我家。
348,攏總攏是你啦！,全都是你的錯啦！
349,我欲先轉去了。,我要先回去了。
350,你有閒來坐一下。,你有空來坐坐。
351,攏好攏好，毋免驚。,都好都好，不用怕。
352,那馬幾點矣？,現在幾點了？
353,你是對咧講啥？,你是在說什麼？
354,毋通做彼款代誌。,不要做那種事。
355,伊講話真有道理。,他講話真有道理。
356,咱來食甜點好無？,我們來吃點甜點好嗎？
357,你欲佮我作伴去無？,你要跟我一起去嗎？
358,恁細漢真乖喔。,你小孩真乖喔。
359,來，咱來切磋一下。,來，我們來交流一下。
360,你人真好。,你人真的很好。
361,下雨天攏無人出門。,下雨天大家都不出門。
362,那馬幾點矣？,現在幾點了？
363,毋通做彼款代誌。,不要做那種事。
364,你欲食啥菜色？,你想吃什麼菜？
365,阮是老朋友矣。,我們是老朋友了。
366,講慢一點，我會曉。,說慢一點，我會懂。
367,恁細漢真乖喔。,你小孩真乖喔。
368,我會再考慮看看。,我會再想一想。
369,食飽就好眠啦。,吃飽就好睡啦。
370,伊看起來真熟似。,他看起來很面熟。
371,彼條路真難行。,那條路真的不好走。
372,這馬是欲按怎？,現在該怎麼辦？
373,下雨天攏無人出門。,下雨天大家都不出門。
374,伊看起來真熟似。,他看起來很面熟。
375,下擺再約出來食飯。,下次再約出來吃飯。
376,恁家內攏好無？,你家裡都好嗎？
377,我陪你去醫院。,我陪你去醫院。
378,伊講話真有道理。,他講話真有道理。
379,這件代誌交予我。,這件事交給我。
380,伊無閒啦，免叫伊。,他沒空啦，不用叫他。
381,你家住佇哪位？,你家住哪裡？
382,你欲佮我作伴去無？,你要跟我一起去嗎？
383,伊無閒啦，免叫伊。,他沒空啦，不用叫他。
384,今仔日天氣真好。,今天天氣真好。
385,毋免客氣啦。,不用客氣啦。
386,今仔日天氣真好。,今天天氣真好。
387,恁細漢真乖喔。,你小孩真乖喔。
388,你佇做咩代誌？,你在忙什麼？
389,你人真好。,你人真的很好。
390,我攏聽有啦。,我都有聽懂啦。
391,咱欲去行街無？,我們要去逛街嗎？
392,免客氣啦，攏自己人。,不用客氣啦，大家自己人。
393,這是你愛的物件無？,這是你喜歡的東西嗎？
394,這馬是欲按怎？,現在該怎麼辦？
395,這馬欲開始矣。,現在要開始了。
396,阮是老朋友矣。,我們是老朋友了。
397,恁爸有在厝無？,你爸在家嗎？
398,下次我請你。,下次我請你吃飯。
399,今仔日天氣真好。,今天天氣真好。
400,這陣子攏做啥？,最近都在做什麼？
401,我幫你問問看。,我幫你問看看。
402,這攤我請就好。,這頓我請客就好。
403,好啊，咱就這馬出門。,好啊，我們現在就出門吧。
404,攏總攏是你啦！,全都是你的錯啦！
405,講慢一點，我會曉。,說慢一點，我會懂。
406,咱來加油一下。,我們來加油一下吧。
407,這件代誌交予我。,這件事交給我。
408,這馬是欲按怎？,現在該怎麼辦？
409,下次我請你。,下次我請你吃飯。
410,攏是天註定的。,都是命中註定的。
411,攏好攏好，毋免驚。,都好都好，不用怕。
412,你講的是對的。,你說的是對的。
413,食飽就好眠啦。,吃飽就好睡啦。
414,你人真好。,你人真的很好。
415,彼件事已經過矣。,那件事已經過去了。
416,攏好攏好，毋免驚。,都好都好，不用怕。
417,你有看著彼齣戲無？,你有看那齣戲嗎？
418,我嘛有同款想法。,我也有一樣的想法。
419,我會再考慮看看。,我會再想一想。
420,這件代誌交予我。,這件事交給我。
421,慢慢來，無關係。,慢慢來，沒關係。
422,我嘛有相款的經驗。,我也有類似的經驗。
423,真感謝你幫忙。,真的很謝謝你幫忙。
424,這攤攏算我的。,這頓我來付錢。
425,好啊，咱就這馬出門。,好啊，我們現在就出門吧。
426,你攏好無？,你一切都還好嗎？
427,恁爸有在厝無？,你爸在家嗎？
428,真感謝你幫忙。,真的很謝謝你幫忙。
429,你講得真有影。,你講得真的有道理。
430,真感謝你幫忙。,真的很謝謝你幫忙。
431,這是啥物意思？,這是什麼意思？
432,彼條路真難行。,那條路真的不好走。
433,你佇做咩代誌？,你在忙什麼？
434,這是我的心意。,這是我的一點心意。
435,恁細漢真乖喔。,你小孩真乖喔。
436,你講的是對的。,你說的是對的。
437,下雨天攏無人出門。,下雨天大家都不出門。
438,看情形再講啦。,看情況再說啦。
439,這件代誌無簡單。,這件事不簡單。
440,恁爸有在厝無？,你爸在家嗎？
441,咱來討論一下。,我們來討論一下。
442,伊看起來真熟似。,他看起來很面熟。
443,這是好機會。,這是一個好機會。
444,彼條路真難行。,那條路真的不好走。
445,你是對咧講啥？,你是在說什麼？
446,攏是天註定的。,都是命中註定的。
447,下次我請你。,下次我請你吃飯。
448,這是我的心意。,這是我的一點心意。
449,免驚，有我佇咧。,別怕，有我在。
450,來，恁嘛坐啦。,來，你也坐吧。
451,有啥需要攏會曉。,有什麼需要我都知道。
452,這是你愛的物件無？,這是你喜歡的東西嗎？
453,做事要有耐心。,做事要有耐心。
454,歡迎你來阮厝。,歡迎你來我家。
455,你是欲去佗位？,你要去哪裡？
456,這件代誌無簡單。,這件事不簡單。
457,免驚，有我佇咧。,別怕，有我在。
458,阮是老朋友矣。,我們是老朋友了。
459,恁爸有在厝無？,你爸在家嗎？
460,咱來佇這裡坐一下。,我們在這邊坐一下吧。
461,咱來討論一下。,我們來討論一下。
462,你講得真有影。,你講得真的有道理。
463,我攏照顧好矣。,我都照顧好了。
464,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
465,你攏好無？,你一切都還好嗎？
466,我欲先轉去了。,我要先回去了。
467,有咩代誌攏好講。,有什麼事都可以說。
468,咱來加油一下。,我們來加油一下吧。
469,今仔日有空無？,你今天有空嗎？
470,下擺再約出來食飯。,下次再約出來吃飯。
471,來，咱來切磋一下。,來，我們來交流一下。
472,攏是天註定的。,都是命中註定的。
473,你講得真有影。,你講得真的有道理。
474,這攤我請就好。,這頓我請客就好。
475,伊看起來真熟似。,他看起來很面熟。
476,好久無見，想你了。,好久沒見到你，想你了。
477,下次我請你。,下次我請你吃飯。
478,咱明仔載再聯絡。,我們明天再聯絡吧。
479,彼件事已經過矣。,那件事已經過去了。
480,這杯咖啡真香。,這杯咖啡真香。
481,你好啊，最近好無？,你好啊，最近還好嗎？
482,這是我的心意。,這是我的一點心意。
483,這陣子攏做啥？,最近都在做什麼？
484,這件代誌交予我。,這件事交給我。
485,攏是天註定的。,都是命中註定的。
486,這件代誌交予我。,這件事交給我。
487,伊講話真有趣。,他說話真有趣。
488,攏總攏是你啦！,全都是你的錯啦！
489,攏好攏好，毋免驚。,都好都好，不用怕。
490,恁家內攏好無？,你家裡都好嗎？
491,攏是天註定的。,都是命中註定的。
492,你咧想咩代誌？,你在想什麼事情？
493,你是欲去佗位？,你要去哪裡？
494,毋通緊張啦。,不要緊張啦。
495,你家住佇哪位？,你家住哪裡？
496,今仔日心情真好。,今天心情很好。
497,你佇做咩代誌？,你在忙什麼？
498,你佇做咩代誌？,你在忙什麼？
499,你講慢一點好無？,你可以講慢一點嗎？
500,免客氣啦，攏自己人。,不用客氣啦，大家自己人。
501,我攏有聽清楚啦。,我都有聽清楚啦。
502,毋通緊張啦。,不要緊張啦。
503,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
504,伊講話真有趣。,他說話真有趣。
505,你講得真有影。,你講得真的有道理。
506,伊無閒啦，免叫伊。,他沒空啦，不用叫他。
507,我攏聽有啦。,我都有聽懂啦。
508,我欲去市場買菜。,我要去市場買菜。
509,咱來加油一下。,我們來加油一下吧。
510,攏總攏是你啦！,全都是你的錯啦！
511,你感覺如何？,你感覺怎麼樣？
512,這是好機會。,這是一個好機會。
513,有代誌就直直講。,有事就直說吧。
514,咱來討論一下。,我們來討論一下。
515,講話攏真有禮貌。,講話都很有禮貌。
516,咱來佇這裡坐一下。,我們在這邊坐一下吧。
517,下擺再約出來食飯。,下次再約出來吃飯。
518,你人真好。,你人真的很好。
519,毋通緊張啦。,不要緊張啦。
520,你好啊，最近好無？,你好啊，最近還好嗎？
521,你講慢一點好無？,你可以講慢一點嗎？
522,這馬是欲按怎？,現在該怎麼辦？
523,我陪你走一段。,我陪你走一段路。
524,彼條路真難行。,那條路真的不好走。
525,你有看著彼齣戲無？,你有看那齣戲嗎？
526,這件代誌無簡單。,這件事不簡單。
527,我嘛攏有準備好矣。,我也都準備好了。
528,這件代誌無簡單。,這件事不簡單。
529,我會再考慮看看。,我會再想一想。
530,你有閒來坐一下。,你有空來坐坐。
531,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
532,食飽就好眠啦。,吃飽就好睡啦。
533,真歡喜見到你。,很高興見到你。
534,你攏好無？,你一切都還好嗎？
535,免傷心，會過去。,別難過，會過去的。
536,咱欲去行街無？,我們要去逛街嗎？
537,我嘛有同款想法。,我也有一樣的想法。
538,你食飽未？,你吃飽了嗎？
539,這馬欲開始矣。,現在要開始了。
540,你有閒來坐一下。,你有空來坐坐。
541,下雨天攏無人出門。,下雨天大家都不出門。
542,攏是天註定的。,都是命中註定的。
543,阮是老朋友矣。,我們是老朋友了。
544,你欲佮我作伴去無？,你要跟我一起去嗎？
545,食飽就好眠啦。,吃飽就好睡啦。
546,我嘛攏有準備啦。,我也都準備好了啦。
547,來，咱來切磋一下。,來，我們來交流一下。
548,這是好機會。,這是一個好機會。
549,我陪你走一段。,我陪你走一段路。
550,我幫你問問看。,我幫你問看看。
551,恁老母身體好無？,你媽媽身體還好嗎？
552,彼件衫真合你穿。,那件衣服很適合你穿。
553,你家住佇哪位？,你家住哪裡？
554,歡迎你來阮厝。,歡迎你來我家。
555,毋免客氣啦。,不用客氣啦。
556,你咧想咩代誌？,你在想什麼事情？
557,這馬欲開始矣。,現在要開始了。
558,免傷心，會過去。,別難過，會過去的。
559,今仔日天氣真好。,今天天氣真好。
560,講慢一點，我會曉。,說慢一點，我會懂。
561,你人真好。,你人真的很好。
562,我攏照顧好矣。,我都照顧好了。
563,做事要有耐心。,做事要有耐心。
564,下雨天攏無人出門。,下雨天大家都不出門。
565,彼條路真難行。,那條路真的不好走。
566,我嘛有相款的經驗。,我也有類似的經驗。
567,你好啊，最近好無？,你好啊，最近還好嗎？
568,毋免客氣啦。,不用客氣啦。
569,伊講話真有道理。,他講話真有道理。
570,你好啊，最近好無？,你好啊，最近還好嗎？
571,免傷心，會過去。,別難過，會過去的。
572,我嘛攏有準備好矣。,我也都準備好了。
573,真感謝你幫忙。,真的很謝謝你幫忙。
574,咱來加油一下。,我們來加油一下吧。
575,這件代誌交予我。,這件事交給我。
576,今仔日天氣真好。,今天天氣真好。
577,你攏好無？,你一切都還好嗎？
578,我攏有聽清楚啦。,我都有聽清楚啦。
579,這是好機會。,這是一個好機會。
580,來，恁嘛坐啦。,來，你也坐吧。
581,這是你愛的物件無？,這是你喜歡的東西嗎？
582,講話攏真有禮貌。,講話都很有禮貌。
583,阮是老朋友矣。,我們是老朋友了。
584,我嘛攏有準備好矣。,我也都準備好了。
585,今仔日天氣真好。,今天天氣真好。
586,你欲佮我作伴去無？,你要跟我一起去嗎？
587,無關係，慢慢講。,沒關係，慢慢說。
588,伊講話真有道理。,他講話真有道理。
589,你人真好。,你人真的很好。
590,阮是老朋友矣。,我們是老朋友了。
591,這馬欲開始矣。,現在要開始了。
592,你講的是對的。,你說的是對的。
593,我欲先轉去了。,我要先回去了。
594,這杯咖啡真香。,這杯咖啡真香。
595,攏總攏是你啦！,全都是你的錯啦！
596,咱明仔載再聯絡。,我們明天再聯絡吧。
597,免客氣啦，攏自己人。,不用客氣啦，大家自己人。
598,我感覺真親切。,我覺得很親切。
599,下次我請你。,下次我請你吃飯。
600,咱來佇這裡坐一下。,我們在這邊坐一下吧。
601,你有咧做啥代誌？,你在做什麼事？
602,有咩代誌攏好講。,有什麼事都可以說。
603,這是我的心意。,這是我的一點心意。
604,恁細漢真乖喔。,你小孩真乖喔。
605,我嘛有同款想法。,我也有一樣的想法。
606,真感謝你幫忙。,真的很謝謝你幫忙。
607,咱明仔載再聯絡。,我們明天再聯絡吧。
608,這攤攏算我的。,這頓我來付錢。
