transcription,file,中文意譯
深深淺淺的色緻毋知有幾種；,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.8.wav,深淺不一的顏色不知道有幾種；
閣斟酌共看，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.9.wav,再仔細看看，
三月初六,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.1.wav,三月六日
忍到五點下課。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.10.wav,忍耐到五點下課。
彼時，知影家己著吊。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.11.wav,那時，知道自己得了癌症。
騎機車按算直透來新樓病院。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.12.wav,騎摩托車打算直接前往新樓醫院。
啥知，騎無兩百公尺疼甲擋袂牢，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.13.wav,誰知道，騎不到兩百公尺就痛得無法忍受，
影著對面張士澎診所，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.14.wav,映著對面的張士澎診所，
緊猛行入內面看診。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.15.wav,馬上走進診間看病。
醫生、護士瞭一下隨知影無轉去大病院袂使。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.16.wav,醫生、護士看了馬上知道不可以不回大醫院不行。
我隨敲電話予佇就近上班的知己，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.17.wav,我馬上打電話給在附近上班的朋友，
拜託伊陪我來新樓急診。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.18.wav,拜託他陪我去新樓急診。
倩計程仔共我車來新樓急診處。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.19.wav,叫計程車幫我載到新樓急診室。
作者：陳金順,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.2.wav,作者：陳金順
這間有歷史的現代病院，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.20.wav,這間有歷史的現代醫院，
是百外冬前由馬雅各醫師創立的。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.21.wav,是由百多年前由馬偕牧師創辦的。
我無信教，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.22.wav,我不信教，
毋過真知這搭的醫生、護士有菩薩心腸。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.23.wav,不過很清楚這裡的醫生、護士都有菩薩的心腸。
規个面仔青恂恂的我，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.24.wav,整個臉色發青的我，
穩心仔共家己交予遮的人間天使。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.25.wav,放心把自己交給這些人間天使。
換病人衫、翕超音波，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.26.wav,換病人衣服、拍超音波，
證明我十二指腸破空。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.27.wav,證明我的十二指腸有破洞。
紲落，鬥尿管、鼻胃管。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.28.wav,接下來，裝導尿管、鼻胃管。
手術前，我簽所有同意書，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.29.wav,手術前，我簽所有的同意書，
三月初六的確是一个重要的時日。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.3.wav,三月初六一定很重要的日子。
同意所有救命的醫療行為。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.30.wav,同意所有的救命的醫療行為。
倒踮手術台頂，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.31.wav,倒躺在手術臺上，
無幾秒鐘就昏甲毋知人。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.32.wav,沒多久就昏倒了。
醒來的時，手術完成，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.33.wav,睡醒之後，手術已經完成了，
時間量約暗時十點。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.34.wav,時間大約是晚上十點。
送來三八四病房，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.35.wav,送來三八四病房，
倩一對三看護。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.36.wav,僱用一對看護。
十一點跤兜，暗頭仔赴約的知己轉來新樓看我。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.37.wav,晚上十點多，老朋友約好要回來新樓看我。
紲落來，佇新樓病院蹛八暝日。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.38.wav,接下來，在聖保羅醫院住了八天。
因由手術前後佇面冊透露病情，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.39.wav,因為開刀前後在臉譜透露病情，
彼日早時我去鉸頭鬃兼洗頭。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.4.wav,那天早上我去理髮兼洗頭。
所致引起濟濟深交淺友的關心掛意。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.40.wav,所以引起許多深交淺緣的朋友們的關心與掛意。
隔轉日，隨有永成兄嫂、雅雯姊來探望。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.41.wav,隔天，馬上就有永成的大嫂跟阿娟姊來探視。
閣來，鈺慧姊、麗娟姊、益榮兄、文平兄、長松兄、耀乾兄相紲踏入病房。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.42.wav,再來，淑慧姊、麗娟姊、益榮哥哥、文平哥哥、長松哥哥、耀乾哥哥接續走進病房。
有的紮營養品、有的紅包貯朋友情，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.43.wav,有的帶營養品、有的紅包裝友誼，
有影感恩講袂盡。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.44.wav,真的是非常感謝說不盡。
上蓋感心的，是兩位紅粉知己的關顧。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.45.wav,最感動的是兩位女性好友的關心。
儷gî送我入院、接我出院，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.46.wav,淑儀送我住院、幫我出院，
蹛院期間逐不時來探看。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.47.wav,住院期間常常來探視。
春足對北地佮兩个幼囝，坐四點外鐘的客運，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.48.wav,春嬌跟兩個小孩子，坐了四個多小時的客運，
落南來病院關心。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.49.wav,從北上來醫院探視。
彼日下晡我來國中𤆬社團。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.5.wav,那天下午我來國中帶社團。
這份情愛用一世人來還。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.50.wav,這份感情要用一輩子來還。
猶閣有黃榮義醫師，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.51.wav,還有黃榮義醫師，
濟濟護理人員佮看護的用心照顧，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.52.wav,很多護理人員跟看護工的用心照顧，
我才會當佇短短八日後順序出院。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.53.wav,我才能夠在短短的八天後順利出院。
雖罔身體病疼蹛院，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.54.wav,雖然身體生病住院治療，
毋過頭殼嶄然仔清明。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.55.wav,不過腦筋卻很清楚。
這段時日，我毋但用手機仔寫十首一行詩，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.56.wav,這段時間裡，我不但用手機寫了十首短詩，
閣進一步為長松的長篇小說《柴山少年安魂曲》寫千捅字的短評。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.57.wav,再進一步針對李松的長篇小說《柴山的少年安魂曲》寫上千字的短評。
今，出院兩禮拜矣。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.58.wav,現在，住院兩個星期了。
身體恢復了誠好，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.59.wav,身體恢復得很好，
予學生觀看《水色嘉南》，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.6.wav,讓學生觀賞《水色嘉南》，
請至親好友免煩惱。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.60.wav,請至親好友不用擔心。
我定著閣較照顧家己，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.61.wav,我一定還要更照顧自己，
予身體愈來愈勇健。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.62.wav,讓自己變得越來越健康。
佇這个五十一歲生日的坎站，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.63.wav,在這個五十一歲的生日關卡，
寫出我無盡的感謝。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.64.wav,寫下我的無限感激。
二空一七年三月初六這日，我會永久記牢牢。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.65.wav,一九二零年三月六日這一天，我會永遠記得。
這是我重生的好日。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.66.wav,這是我重生的好日子。
教𪜶唱〈下港的風〉。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.7.wav,教他們唱《下港的風》。
上課中站，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.8.wav,上課中途，
腹肚開始幽幽仔疼，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-4.9.wav,肚子開始隱隱作痛，
我上佮意做的代誌,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.1.wav,我最喜歡做的事情
因為我看的冊攏是課外冊。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.10.wav,因為我看的書都是課外的書。
見擺若咧看冊，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.11.wav,每次只要在看書，
我攏看甲足入迷。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.12.wav,我都看得很入迷。
有一擺地動，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.13.wav,有一次地震，
阿母講伊佇灶跤大聲喝，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.14.wav,媽媽說他在廚房大喊大叫，
叫我緊出去外口較安全，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.15.wav,叫我趕快出去外面比較安全，
結果我攏無動無靜。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.16.wav,結果我都沒做任何事。
等地動搖煞，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.17.wav,地動搖晃卻，
伊看我閣屈佇房間咧看冊，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.18.wav,他看到我又蹲在房間裡看書，
就幌頭講：,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.19.wav,就搖頭說：
作者：林美麗,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.2.wav,作者：林美麗
「你喔，看冊看甲變書呆矣啦！,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.20.wav,「你喔，看書看到變成書呆了啦！
連天崩落來，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.21.wav,就算是天崩地裂，
我看你嘛毋知。」,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.22.wav,我看你也不知。」
天哪會崩落來？,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.23.wav,天怎麼會塌下來？
阮阿母實在是『杞人憂天』。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.24.wav,我媽媽實在很愛操煩，凡事都擔心東擔心西。
其實『杞人憂天』這句成語，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.25.wav,其實「杞人自擾」這句成語，
嘛是我佇《成語故事》內底學來的。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.26.wav,也是我在《成語故事》裡學到的。
彼是咧講佇春秋時代，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.27.wav,那是在春秋時期，
杞國有一个人足神經質，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.28.wav,杞國有一個人很神經質，
規工煩惱天會崩落來，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.29.wav,整天擔心天會塌下來，
人講：「讀冊讀冊，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.3.wav,人家說：「讀書、讀書，
路尾煞變甲袂食袂睏。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.30.wav,最後卻變得無法吃得、睡不著。
人看伊一日煩滷無夠，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.31.wav,人家看他一天煩惱東、煩惱西，
一暝煩惱來鬥，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.32.wav,一夜煩惱來折磨，
就共講：,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.33.wav,就這麼說：
「天無遐攬，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.34.wav,「天不那麼疼，
無可能會崩！」,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.35.wav,不可能會倒！」
伊毋信就講：,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.36.wav,他不信就說：
「啊掃帚星就會落落來矣，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.37.wav,「啊掃帚星就會掉下來了，
是按怎天哪未崩？」,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.38.wav,怎麼天都沒崩塌呢？」
路尾有一个真有學問的人去共伊講天文的智識，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.39.wav,最後有一個很有學問的人去跟他談論天文的知識，
無讀無冊，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.4.wav,沒讀書，
才予伊安心落來。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.40.wav,才讓他安心下來。
若以現代醫學來看，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.41.wav,如果從現代醫學的角度來看，
這个人應該是得著焦慮症啦，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.42.wav,這個人應該是得了憂鬱症吧，
若無，哪有人會想想彼種有空無榫的代誌？,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.43.wav,不然，怎麼會有人想那種沒有意義的事情呢？
你看，連這我嘛知，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.44.wav,你看，就連這個我都知道，
按呢就聽好知影，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-5.45.wav,如此一來就可以知道了，
